"date","Plate.SN","DIV","well","trt","dose","units","file.name","wt.mean.resistance"
"20220209","MW89-4613",7,"C6","Deltamethrin",3,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.099648
"20220209","MW89-4613",7,"C7","Deltamethrin",10,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",21.592866
"20220209","MW89-4613",7,"C8","Deltamethrin",30,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",22.117403
"20220209","MW89-4613",7,"D1","Glyphosate",0.03,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",14.299994
"20220209","MW89-4613",7,"D2","H2O",0,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.563335
"20220209","MW89-4613",7,"D3","Glyphosate",0.1,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.802418
"20220209","MW89-4613",7,"D4","Glyphosate",0.3,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",15.530243
"20220209","MW89-4613",7,"D5","Glyphosate",1,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",19.42045
"20220209","MW89-4613",7,"D6","Glyphosate",3,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.148702
"20220209","MW89-4613",7,"D7","Glyphosate",10,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",15.278239
"20220209","MW89-4613",7,"D8","Glyphosate",30,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",13.271527
"20220209","MW89-4613",7,"E1","Lindane",0.03,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",14.901689
"20220209","MW89-4613",7,"E2","EtOH",0,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.745279
"20220209","MW89-4613",7,"E3","Lindane",0.1,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.693437
"20220209","MW89-4613",7,"E4","Lindane",0.3,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.562653
"20220209","MW89-4613",7,"E5","Lindane",1,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",15.785749
"20220209","MW89-4613",7,"E6","Lindane",3,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",16.295597
"20220209","MW89-4613",7,"E7","Lindane",10,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",15.81838
"20220209","MW89-4613",7,"E8","Lindane",30,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",16.166773
"20220209","MW89-4613",7,"F1","Rotenone",3e-05,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",15.666523
"20220209","MW89-4613",7,"F2","DMSO",0,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.072738
"20220209","MW89-4613",7,"F3","Rotenone",1e-04,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",14.242718
"20220209","MW89-4613",7,"F4","Rotenone",3e-04,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",16.482548
"20220209","MW89-4613",7,"F5","Rotenone",0.001,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",18.687598
"20220209","MW89-4613",7,"F6","Rotenone",0.003,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",16.954088
"20220209","MW89-4613",7,"F7","Rotenone",0.01,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",18.579222
"20220209","MW89-4613",7,"F8","Rotenone",0.03,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",22.697372
"20220209","MW89-4613",9,"A1","Thiamethoxam",0.03,"uM","iNFA_20220209_MW89-4613_09_(000)_Compiler.csv",16.311147
"20220209","MW89-4613",9,"A2","DMSO",0,"uM","iNFA_20220209_MW89-4613_09_(000)_Compiler.csv",14.904245
"20220209","MW89-4613",9,"A3","Thiamethoxam",0.1,"uM","iNFA_20220209_MW89-4613_09_(000)_Compiler.csv",16.451019
"20220209","MW89-4613",9,"A4","Thiamethoxam",0.3,"uM","iNFA_20220209_MW89-4613_09_(000)_Compiler.csv",16.150123
"20220209","MW89-4613",9,"A5","Thiamethoxam",1,"uM","iNFA_20220209_MW89-4613_09_(000)_Compiler.csv",14.921104
"20220209","MW89-4613",9,"A6","Thiamethoxam",3,"uM","iNFA_20220209_MW89-4613_09_(000)_Compiler.csv",16.203307
"20220209","MW89-4613",9,"A7","Thiamethoxam",10,"uM","iNFA_20220209_MW89-4613_09_(000)_Compiler.csv",11.433563
"20220209","MW89-4613",9,"A8","Thiamethoxam",30,"uM","iNFA_20220209_MW89-4613_09_(000)_Compiler.csv",16.692632
"20220209","MW89-4613",9,"B1","Tributyltin Chloride",1e-04,"uM","iNFA_20220209_MW89-4613_09_(000)_Compiler.csv",15.255358
"20220209","MW89-4613",9,"B2","DMSO",0,"uM","iNFA_20220209_MW89-4613_09_(000)_Compiler.csv",16.820988
"20220209","MW89-4613",9,"B3","Tributyltin Chloride",3e-04,"uM","iNFA_20220209_MW89-4613_09_(000)_Compiler.csv",14.821097
"20220209","MW89-4613",9,"B4","Tributyltin Chloride",0.001,"uM","iNFA_20220209_MW89-4613_09_(000)_Compiler.csv",15.767241
