"date","Plate.SN","well","DIV","trt","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq","wllq_notes"
"20160921","MW1159-40","B3",12,"Tributyltin chloride",0.03,"uM","ON_20160921_MW1159-40_12_00(000).h5",0.890780870305936,3.59076923076923,0.0267527675730754,77.4730909090909,0.253636363636364,16.2587272727273,13,11,63,11.3650793650794,0.140366891706177,30.3528736731376,13.7233870967742,0.0433947397172964,50.3809523809524,0.309887722893931,0.00749487469163809,1,""
"20160921","MW1159-40","B3",5,"Tributyltin chloride",0.03,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B3",7,"Tributyltin chloride",0.03,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B3",9,"Tributyltin chloride",0.03,"uM","ON_20160921_MW1159-40_09_00(000).h5",0.267040526366582,0.77,0.0548860505181033,44.8154,0.3246,74.7238,6,5,9,11.6666666666667,0.115209435626102,13.910447761194,108.3,0.0188400069215266,25.8888888888889,0.116317324446737,0,1,""
"20160921","MW1159-40","B4",12,"Tributyltin chloride",0.1,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B4",5,"Tributyltin chloride",0.1,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B4",7,"Tributyltin chloride",0.1,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B4",9,"Tributyltin chloride",0.1,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B5",12,"Tributyltin chloride",0.3,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B5",5,"Tributyltin chloride",0.3,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B5",7,"Tributyltin chloride",0.3,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B5",9,"Tributyltin chloride",0.3,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B6",12,"Tributyltin chloride",1,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B6",5,"Tributyltin chloride",1,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B6",7,"Tributyltin chloride",1,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B6",9,"Tributyltin chloride",1,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B7",12,"Tributyltin chloride",3,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B7",5,"Tributyltin chloride",3,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B7",7,"Tributyltin chloride",3,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B7",9,"Tributyltin chloride",3,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B8",12,"Tributyltin chloride",10,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B8",5,"Tributyltin chloride",10,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
