"date","Plate.SN","well","treatment","dose","units","wllq_by_well","wllq_notes_by_well","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20220119","MW78-6312","E1","7126 F5","0.1001","uM","1","",6.042908,5.465625,0.117971,304.763692,4.077696,218.102871,73.5,41.5,96.5,88.002165,1.495053,63.906783,878.392683,0.605118,503.699134,1.975321,0.051811
"20220119","MW78-6313","F1","7126 F5","0.1001","uM","1","",2.384091,2.517308,0.104543,315.690458,4.219542,336.389542,51.5,25.5,49,74.369565,1.026627,95.788633,420.628977,0.386317,487.76087,1.178111,0.022752
"20211027","MW75-9317","A1","7126 H9","0.1001","uM","1","Hot water shut off in building; ",2.415585,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0
"20211027","MW75-9315","B1","7126 H9","0.1001","uM","1","Hot water shut off in building; ",6.588671,3.549375,0.046911,114.294656,1.662375,73.239844,48,24,34,53.785714,0.924458,17.461331,65.06625,0.164437,349.5,0.549352,0.022849
"20211027","MW75-9316","C1","7126 H9","0.1001","uM","1","Hot water shut off in building; ",11.188555,15.4125,0.365342,255.139563,6.49775,145.795344,29,26.5,15,24,0.613523,23.688047,142.708333,0.185124,243.75,0.608638,0.012762
"20210915","MW75-9220","D1","7126 A10","0.1002","uM","1","",9.016396,7.719381,0.185538,445.823867,4.152633,275.132767,98,64,68.5,60,2.545509,42.773755,272.296032,0.712138,631.336207,1.771196,0.08197
"20210915","MW75-9301","E1","7126 A10","0.1002","uM","1","",10.888905,6.629196,0.299443,341.317125,47.216438,248.490281,83,31,70,85.594595,2.547803,29.693391,480.810417,0.501179,702.986486,1.294917,0.053846
"20210915","MW75-9302","F1","7126 A10","0.1002","uM","1","",5.913079,4.741875,0.227373,159.782875,6.513937,234.862156,66.5,29,79.5,56.426357,1.562417,49.815859,410.935714,0.550309,431.170543,1.444718,0.040988
"20210915","MW75-9219","D1","7126 A5","0.1002","uM","1","",8.292043,5.047917,0.271137,383.281542,4.561583,352.969969,82,65.5,64.5,93.5,2.970646,61.558368,1028.495192,0.589289,716.319444,2.011212,0.058238
"20210915","MW75-9217","E1","7126 A5","0.1002","uM","1","",12.84562,9.628542,0.632848,543.494563,59.404875,382.428656,97,73,47.5,64,2.016978,33.580085,352.475439,0.450007,542.817857,1.513637,0.043625
"20210915","MW75-9218","F1","7126 A5","0.1002","uM","1","",18.822489,16.803375,0.587809,408.004125,7.852562,283.710625,81.5,36,95.5,59.552198,1.426981,58.133598,371.630392,0.61068,443.646978,1.861197,0.056674
"20210929","MW75-9311","A1","7126 B8","0.1002","uM","1","Hot water shut off in building; ",14.275046,18.315,0.297052,551.059062,4.403156,299.292813,111,98.5,212.5,129.744562,2.504465,88.324322,183.667731,0.773602,877.288859,2.833618,0.151739
"20210929","MW75-9309","B1","7126 B8","0.1002","uM","1","Hot water shut off in building; ",18.774128,19.47,0.238689,589.336552,5.179208,247.01051,131,103.5,308,125.377086,2.836976,76.468858,931.036362,1.344749,913.920041,2.997109,0.194496
"20210929","MW75-9310","C1","7126 B8","0.1002","uM","1","Hot water shut off in building; ",17.281002,21.17,0.255186,593.435563,6.479844,286.649562,133.5,111,281,124.057095,2.419353,92.003693,391.139368,1.060994,866.127268,2.843331,0.15074
"20211110","MW78-6212","D1","7126 C12","0.1002","uM","0","(7126 C12) Sample has >= 4 noisy endpoints and platewise median of controls < 2SD below mean of all NFA data for key general activity endpoints; Hot water shut off in building; ",15.501345,11.42,0.549514,136.584,4.3579,47.1259,28,10,0,0,0,0,0,0,0,0.000821,4.7e-05
"20220615","MW78-7305","D1","7126 C12","0.1002","uM","1","",13.739719,10.651875,0.408542,545.49915,31.273369,361.224419,126,96.5,76.5,95,3.133179,51.348921,477.902976,0.420428,921.128571,2.320794,0.091851
