"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","CCTE_Shafer_MEA_dev_firing_rate_mean","CCTE_Shafer_MEA_dev_burst_rate","CCTE_Shafer_MEA_dev_per_burst_interspike_interval","CCTE_Shafer_MEA_dev_per_burst_spike_percent","CCTE_Shafer_MEA_dev_burst_duration_mean","CCTE_Shafer_MEA_dev_interburst_interval_mean","CCTE_Shafer_MEA_dev_active_electrodes_number","CCTE_Shafer_MEA_dev_bursting_electrodes_number","CCTE_Shafer_MEA_dev_network_spike_number","CCTE_Shafer_MEA_dev_network_spike_peak","CCTE_Shafer_MEA_dev_spike_duration_mean","CCTE_Shafer_MEA_dev_per_network_spike_spike_percent","CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean","CCTE_Shafer_MEA_dev_network_spike_duration_std","CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean","CCTE_Shafer_MEA_dev_correlation_coefficient_mean","CCTE_Shafer_MEA_dev_mutual_information_norm"
"20180815","MW1207-25","B3","1475827","0.10000","uM","1","",6.383448,12.418364,0.276419,242.617729,4.370529,138.403571,58,40,148,47.164634,0.522016,23.052306,232.575926,0.164271,130.689024,0.438175,0.007026
"20180815","MW1207-26","C3","1475827","0.10000","uM","1","",7.112504,13.071636,0.306606,269.766019,3.277173,248.453596,67,48.5,156,43.02381,0.961655,32.718114,199.842798,0.334943,186.071429,0.561188,0.014409
"20180815","MW1207-26","A3","1475829","0.10000","uM","1","",12.496853,19.142143,0.416161,302.361497,18.775962,138.167887,86,61.5,247.5,42.541667,0.662082,28.899535,162.851298,0.231135,140.522619,0.379011,0.01375
"20180815","MW1207-24","B3","1475829","0.10000","uM","1","",5.413791,8.043,0.200874,233.231893,6.985476,220.528583,53.5,36,88.5,49.929293,0.662149,21.402454,258.705669,0.180417,146.234848,0.460426,0.006085
"20180815","MW1207-25","C3","1475829","0.10000","uM","1","",3.60532,8.73,0.228166,225.181339,2.050393,152.6305,53.5,35.5,73.5,45.980392,0.629054,32.601531,293.257102,0.180671,140.69281,0.530074,0.00647
"20180815","MW1207-25","A3","1475830","0.10000","uM","1","",6.08366,13.297292,0.202432,231.07975,2.051385,132.601385,72,54,402,37.76009,0.487725,45.702366,87.172713,0.264668,91.215496,0.524358,0.012808
"20180815","MW1207-26","B3","1475830","0.10000","uM","1","",8.107386,18.916875,0.351304,260.636981,3.41175,195.122769,65,48.5,407,40.770449,0.712839,38.606673,164.46751,0.299757,119.922811,0.393052,0.012272
"20180815","MW1207-24","C3","1475830","0.10000","uM","1","",3.285737,8.297308,0.19471,221.925562,1.666125,164.608812,48.5,32,81.5,47.370968,0.587504,34.864333,200.553077,0.118012,126.703917,0.429591,0.002531
"20180815","MW1207-24","D3","1475831","0.10000","uM","1","",7.591999,15.4625,0.488128,286.134076,4.130553,159.224076,55,40.5,106,48.361111,0.705902,29.716369,241.991509,0.248832,159.472222,0.389961,0.00723
"20180815","MW1207-25","E3","1475831","0.10000","uM","1","",4.595001,5.191154,0.184211,203.770482,2.967643,223.073339,55,35.5,120,39.308333,0.491675,41.470121,205.527889,0.167924,125.625,0.519449,0.006126
"20180815","MW1207-26","F3","1475831","0.10000","uM","1","",12.610888,30.493714,0.618139,478.944529,6.096764,215.09035,83.5,76.5,130.5,76.209382,1.714505,40.647674,328.382547,0.656263,301.546911,1.076361,0.027508
"20180815","MW1207-26","D3","1475833","0.10000","uM","1","",5.58195,8.804,0.24047,317.015714,2.482268,263.688946,57.5,37.5,132,42.710784,0.6278,41.957244,204.226425,0.250486,158.821078,0.496995,0.009659
"20180815","MW1207-24","E3","1475833","0.10000","uM","1","",7.26736,12.728221,0.189183,217.191083,2.662927,137.276896,75,54,133,53.041906,0.834188,30.630243,194.915152,0.335001,204.831228,0.5531,0.014963
"20180815","MW1207-25","F3","1475833","0.10000","uM","1","",6.16514,17.315844,0.351322,355.300346,3.015308,131.827615,56.5,34,271.5,39.187629,0.501238,32.74453,192.695682,0.146304,83.574534,0.346795,0.007452
"20180815","MW1207-25","D3","1475836","0.10000","uM","1","",2.365899,3.879,0.195917,240.618688,2.727771,249.430146,27.5,22,54,42.365079,0.498363,39.660482,320.475625,0.134075,116.412698,0.484189,0.005536
"20180815","MW1207-26","E3","1475836","0.10000","uM","1","",12.719013,20.506125,0.358043,337.141291,10.1328,189.797697,86.5,64.5,763.5,33.024948,0.532471,50.7518,30.700848,0.411853,100.180603,0.532117,0.020817
"20180815","MW1207-24","F3","1475836","0.10000","uM","1","",12.689217,18.973846,0.448578,396.8585,13.1469,104.17585,72.5,49.5,603,39.904509,0.568446,42.686966,147.138972,0.242051,105.950928,0.372901,0.012069
"20180801","MW1207-21","A4","1475812","0.30000","uM","0","Fungal contamination; ",4.312492,6.40524,0.16302,222.314608,1.928592,265.967692,62.5,52.5,74,33.3125,0.906823,23.821168,325.132857,0.262659,139.5625,0.259147,0.005243
"20180801","MW1207-22","A4","1475812","0.30000","uM","1","",9.090835,13.561875,0.343777,270.31748,4.366426,207.194028,82.5,59.5,139,46.333333,1.242032,17.086914,561.398645,0.499639,125.845238,0.26252,0.010384
"20180801","MW1207-23","A4","1475812","0.30000","uM","1","",10.241122,15.380089,0.494496,250.591422,5.786211,189.578644,67.5,47,101,32.920455,0.895101,14.549911,190.804293,0.27045,136.970779,0.163263,0.006023
"20180801","MW1207-21","B4","1475816","0.30000","uM","0","Fungal contamination; ",6.810097,8.708095,0.227791,185.5555,4.386,158.426083,47.5,33,88.5,26.644231,0.796376,17.017198,213.031878,0.197959,107.24359,0.186647,0.004262
"20180801","MW1207-22","B4","1475816","0.30000","uM","1","",5.749506,10.263231,0.329563,297.3795,3.71225,214.75085,75,58,143,37.780303,1.095442,24.808758,96.078087,0.297465,134.712121,0.282448,0.010833
"20180801","MW1207-23","B4","1475816","0.30000","uM","1","",7.503431,11.239018,0.416841,281.618027,3.948647,279.101531,63,45.5,117.5,25.134118,0.98961,16.372779,155.694515,0.380659,104.245882,0.202187,0.005589
"20180801","MW1207-21","C4","1475817","0.30000","uM","0","Fungal contamination; ",3.361767,4.926,0.169343,210.986238,1.77006,250.758821,53.5,36,61,40.051724,0.584639,32.041354,385.374702,0.106043,148.6133,0.292757,0.004729
"20180801","MW1207-22","C4","1475817","0.30000","uM","1","",4.714625,8.832,0.286552,310.513743,2.804157,390.531614,60,44,87.5,52.587302,0.950912,32.854636,269.108918,0.153063,205.630952,0.54186,0.0084
"20180801","MW1207-23","C4","1475817","0.30000","uM","1","",3.743981,5.941875,0.176679,251.752656,2.17075,253.436469,66,36.5,79.5,60.458333,1.077983,41.4713,859.552143,0.225506,218.857143,0.421131,0.005675
"20180801","MW1207-21","D4","1475818","0.30000","uM","0","Fungal contamination; ",4.116254,8.703462,0.178091,248.431768,2.289839,210.433643,46.5,35.5,51.5,40.955357,0.663389,31.532201,327.2575,0.168773,184.741071,0.330742,0.004513
"20180801","MW1207-22","D4","1475818","0.30000","uM","1","",2.564502,4.159286,0.260899,201.356,2.73225,295.55875,35.5,20.5,61,36.977833,0.549113,31.623567,335.600298,0.164787,109.413793,0.245485,0.001618
"20180801","MW1207-23","D4","1475818","0.30000","uM","1","",4.832331,8.190256,0.385766,186.315167,3.804375,258.480917,48,25.5,35.5,32.051471,0.538438,9.650998,523.455208,0.201479,80.176471,0.114879,0.000877
"20180801","MW1207-21","E4","1475820","0.30000","uM","0","Fungal contamination; ",5.222225,8.796,0.236697,353.921192,2.308077,339.208135,44.5,28.5,93,37.050439,0.869177,72.167802,836.865786,0.235979,118.348684,0.184449,0.003684
"20180801","MW1207-22","E4","1475820","0.30000","uM","1","",8.079573,16.364,0.328227,353.76625,5.399679,200.235929,61,42.5,92.5,25.880357,0.767968,22.865012,175.435539,0.309174,106.530357,0.207289,0.004375
"20180801","MW1207-23","E4","1475820","0.30000","uM","1","",7.178938,12.306875,0.284156,226.379656,3.215856,296.087978,60,47,87.5,27.3125,0.845152,10.593402,315.930519,0.298994,124.345833,0.099562,0.003426
"20180801","MW1207-21","F4","1475823","0.30000","uM","0","Fungal contamination; ",4.169245,7.511143,0.235792,227.065036,3.072286,169.062429,44,33.5,78.5,33.197115,0.823607,23.867765,307.379135,0.406606,130.504808,0.27718,0.005633
"20180801","MW1207-22","F4","1475823","0.30000","uM","1","",7.309598,10.571,0.177242,222.066846,2.583415,139.636962,60.5,42,68,30.606061,1.143626,12.601923,253.499038,0.459127,120.813131,0.202901,0.006221
"20180801","MW1207-23","F4","1475823","0.30000","uM","1","",12.217479,30.214625,0.582131,439.310455,7.586549,235.079067,69,52,81.5,43.372159,1.458675,17.154131,737.849597,0.684333,190.726799,0.28782,0.00699
"20180815","MW1207-24","A4","1475827","0.30000","uM","1","",4.816656,10.014167,0.286293,174.857,1.9923,166.69,52.5,35,52.5,50.036667,0.513823,15.108625,372.215625,0.160458,117.576667,0.202509,0.002753
"20180815","MW1207-25","B4","1475827","0.30000","uM","1","",2.587801,4.47,0.170282,226.814375,1.672938,192.513438,32.5,22,53.5,44.947368,0.463298,49.996342,303.013889,0.075164,157.210526,0.553754,0.005174
"20180815","MW1207-26","C4","1475827","0.30000","uM","1","",7.520961,14.943515,0.268372,353.917188,2.682185,268.979481,70.5,52.5,111,47.47619,0.727193,31.09466,181.969643,0.197824,161.72449,0.603111,0.011286
"20180815","MW1207-26","A4","1475829","0.30000","uM","1","",7.104935,14.96,0.697942,318.030604,5.243729,240.919198,85,58.5,544,53.501058,0.680971,53.534264,724.479128,0.228086,111.813228,0.445737,0.012142
"20180815","MW1207-24","B4","1475829","0.30000","uM","1","",3.62441,7.512321,0.174634,244.906654,1.826769,172.650538,67,44.5,91,51.375,0.71223,41.215574,178.415152,0.259294,159.397059,0.594679,0.007504
"20180815","MW1207-25","C4","1475829","0.30000","uM","1","",6.2424,8.33625,0.56493,258.344125,4.146896,275.384833,45.5,29,64.5,42.021825,0.589393,25.252529,261.564931,0.189897,116.19246,0.401943,0.005249
