"date","plate.SN","well","treatment","dose","units","NHEERL_MEA_dev_firing_rate_mean","NHEERL_MEA_dev_burst_rate","NHEERL_MEA_dev_per_burst_interspike_interval","NHEERL_MEA_dev_per_burst_spike_percent","NHEERL_MEA_dev_burst_duration_mean","NHEERL_MEA_dev_interburst_interval_mean","NHEERL_MEA_dev_active_electrodes_number","NHEERL_MEA_dev_bursting_electrodes_number","NHEERL_MEA_dev_network_spike_number","NHEERL_MEA_dev_network_spike_peak","NHEERL_MEA_dev_spike_duration_mean","NHEERL_MEA_dev_per_network_spike_spike_percent","NHEERL_MEA_dev_per_network_spike_interspike_interval_mean","NHEERL_MEA_dev_network_spike_duration_std","NHEERL_MEA_dev_per_network_spike_spike_number_mean","NHEERL_MEA_dev_correlation_coefficient_mean","NHEERL_MEA_dev_mutual_information_norm"
"20140212","MW1007-27","F6","Sodium Orthovanadate","10.00000","uM",5.145601,10.937473,0.292124,194.339083,2.262667,119.016,53,28.5,356.5,29.562579,0.449008,59.673353,268.6865,0.132627,82.831226,0.395264,0.017632
"20140402","MW1007-27","F6","Sodium Orthovanadate","10.00000","uM",7.00801,18.042143,0.165944,439.013824,1.840558,148.55047,99,82,308,74.63033,1.03223,129.163915,121.689318,0.419576,353.301351,2.156703,0.060017
"20140423","MW1007-38","F6","Sodium Orthovanadate","10.00000","uM",3.757271,6.731923,0.52261,237.526536,3.366786,260.123857,65.5,48,314,38.763221,0.533416,96.915314,78.138387,0.303878,101.308894,1.001872,0.019274
"20140205","MW1007-26","F7","Sodium Orthovanadate","10.00000","uM",10.370675,24.255357,0.439762,333.215518,3.659415,117.362866,90.5,63,464,46.544922,0.595668,56.338782,86.932704,0.230854,146.494141,0.696355,0.023945
"20140730","MW1007-104","F8","Sodium Orthovanadate","10.00000","uM",6.397217,11.692523,0.222521,244.820694,22.598417,96.343865,55.583333,42.916667,181.083333,44.915492,0.587626,67.431084,197.256548,0.191907,179.125496,0.817796,0.017191
"20140716","MW1007-26","F8","Sodium Orthovanadate","10.00000","uM",12.740506,10.531875,0.429277,249.288875,127.555875,39.972,48,23,277.5,14.837838,0.120716,16.694065,7.209783,0.054814,27.445946,0.172193,0.005241
"20140716","MW1007-26","A8","Glyphosate","100.00000","uM",4.668237,11.994375,0.118426,243.741937,1.321969,141.015656,58.5,49,662,46.610034,0.482939,126.598751,68.522355,0.139735,159.070683,1.09229,0.033379
"20140730","MW1007-104","B8","Glyphosate","100.00000","uM",1.277422,2.5725,0.078032,145.916042,0.981292,119.198458,28.75,20,63.75,27.964286,0.338645,47.199665,99.449877,0.074744,102.169643,0.444701,0
"20140716","MW1007-26","D8","Glyphosate","100.00000","uM",6.348265,10.471615,0.488531,250.945583,3.507083,309.621417,54.5,35,154,42.644737,0.561044,66.491377,150.942667,0.16531,186.388158,0.669088,0.018577
"20140730","MW1007-104","E8","Glyphosate","100.00000","uM",6.20127,14.6565,0.235455,371.290108,2.756858,221.667325,67.75,54.5,267.25,64.851442,0.969835,112.770396,199.442933,0.263617,246.176982,1.491208,0.033953
