date,Plate.SN,DIV,well,trt,dose,units,file.name,Mutual Information
20190710,MW69-0213,07,A8,L-Glufosinate Ammonium,30,uM,NFA_20190710_MW69-0213_07_00(000).h5,1.2507890189889e-05
20190710,MW69-0213,07,B1,Glufosinate Ammonium,0.03,uM,NFA_20190710_MW69-0213_07_00(000).h5,1.42944280320106e-05
20190710,MW69-0213,07,B2,Glufosinate Ammonium,0,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.000162127152419939
20190710,MW69-0213,07,B3,Glufosinate Ammonium,0.1,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.000234797244489604
20190710,MW69-0213,07,B4,Glufosinate Ammonium,0.3,uM,NFA_20190710_MW69-0213_07_00(000).h5,4.34549204582968e-05
20190710,MW69-0213,07,B5,Glufosinate Ammonium,1,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.000260217217822691
20190710,MW69-0213,07,B6,Glufosinate Ammonium,3,uM,NFA_20190710_MW69-0213_07_00(000).h5,6.1124790848438e-05
20190710,MW69-0213,07,B7,Glufosinate Ammonium,10,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.000120358914715657
20190710,MW69-0213,07,B8,Glufosinate Ammonium,30,uM,NFA_20190710_MW69-0213_07_00(000).h5,0
20190710,MW69-0213,07,C1,Glyphosate,0.03,uM,NFA_20190710_MW69-0213_07_00(000).h5,4.28133180227497e-06
20190710,MW69-0213,07,C2,Glyphosate,0,uM,NFA_20190710_MW69-0213_07_00(000).h5,7.10186422701181e-07
20190710,MW69-0213,07,C3,Glyphosate,0.1,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.000100082173878149
20190710,MW69-0213,07,C4,Glyphosate,0.3,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.000119960239319881
20190710,MW69-0213,07,C5,Glyphosate,1,uM,NFA_20190710_MW69-0213_07_00(000).h5,1.92455797755398e-05
20190710,MW69-0213,07,C6,Glyphosate,3,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.000168706365091205
20190710,MW69-0213,07,C7,Glyphosate,10,uM,NFA_20190710_MW69-0213_07_00(000).h5,4.8363053860509e-06
20190710,MW69-0213,07,C8,Glyphosate,30,uM,NFA_20190710_MW69-0213_07_00(000).h5,4.36071968740875e-06
20190710,MW69-0213,07,D1,Loperamide,0.03,uM,NFA_20190710_MW69-0213_07_00(000).h5,2.96166733616821e-06
20190710,MW69-0213,07,D2,Loperamide,0,uM,NFA_20190710_MW69-0213_07_00(000).h5,7.78601819432095e-05
20190710,MW69-0213,07,D3,Loperamide,0.1,uM,NFA_20190710_MW69-0213_07_00(000).h5,0
20190710,MW69-0213,07,D4,Loperamide,0.3,uM,NFA_20190710_MW69-0213_07_00(000).h5,0
20190710,MW69-0213,07,D5,Loperamide,1,uM,NFA_20190710_MW69-0213_07_00(000).h5,0
20190710,MW69-0213,07,D6,Loperamide,3,uM,NFA_20190710_MW69-0213_07_00(000).h5,0
20190710,MW69-0213,07,D7,Loperamide,10,uM,NFA_20190710_MW69-0213_07_00(000).h5,0
20190710,MW69-0213,07,D8,Loperamide,30,uM,NFA_20190710_MW69-0213_07_00(000).h5,0
20190710,MW69-0213,07,E1,3 Glufosinate-P Technical,0.03,uM,NFA_20190710_MW69-0213_07_00(000).h5,6.71410474444023e-06
20190710,MW69-0213,07,E2,3 Glufosinate-P Technical,0,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.000101434512377346
20190710,MW69-0213,07,E3,3 Glufosinate-P Technical,0.1,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.000339380501620542
20190710,MW69-0213,07,E4,3 Glufosinate-P Technical,0.3,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.000314451572503358
20190710,MW69-0213,07,E5,3 Glufosinate-P Technical,1,uM,NFA_20190710_MW69-0213_07_00(000).h5,0
20190710,MW69-0213,07,E6,3 Glufosinate-P Technical,3,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.000474660534411509
20190710,MW69-0213,07,E7,3 Glufosinate-P Technical,10,uM,NFA_20190710_MW69-0213_07_00(000).h5,1.56994065152807e-05
20190710,MW69-0213,07,E8,3 Glufosinate-P Technical,30,uM,NFA_20190710_MW69-0213_07_00(000).h5,2.08645275002958e-05
20190710,MW69-0213,07,F1,4 Glufosinate-P Technical,0.03,uM,NFA_20190710_MW69-0213_07_00(000).h5,4.23257279363876e-08
20190710,MW69-0213,07,F2,4 Glufosinate-P Technical,0,uM,NFA_20190710_MW69-0213_07_00(000).h5,0
20190710,MW69-0213,07,F3,4 Glufosinate-P Technical,0.1,uM,NFA_20190710_MW69-0213_07_00(000).h5,2.58463175848572e-05
20190710,MW69-0213,07,F4,4 Glufosinate-P Technical,0.3,uM,NFA_20190710_MW69-0213_07_00(000).h5,1.31280490064944e-06
20190710,MW69-0213,07,F5,4 Glufosinate-P Technical,1,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.00275904172063021
20190710,MW69-0213,07,F6,4 Glufosinate-P Technical,3,uM,NFA_20190710_MW69-0213_07_00(000).h5,0.000124901385898671
20190710,MW69-0213,07,F7,4 Glufosinate-P Technical,10,uM,NFA_20190710_MW69-0213_07_00(000).h5,2.94214220907252e-05
20190710,MW69-0213,07,F8,4 Glufosinate-P Technical,30,uM,NFA_20190710_MW69-0213_07_00(000).h5,5.92754484292843e-05
20190710,MW69-0213,09,A1,L-Glufosinate Ammonium,0.03,uM,NFA_20190710_MW69-0213_09_00(000).h5,2.41164420429392e-05
20190710,MW69-0213,09,A2,L-Glufosinate Ammonium,0,uM,NFA_20190710_MW69-0213_09_00(000).h5,0.00321720611906073
20190710,MW69-0213,09,A3,L-Glufosinate Ammonium,0.1,uM,NFA_20190710_MW69-0213_09_00(000).h5,0.00119391561203681
20190710,MW69-0213,09,A4,L-Glufosinate Ammonium,0.3,uM,NFA_20190710_MW69-0213_09_00(000).h5,0.0020264942562225
20190710,MW69-0213,09,A5,L-Glufosinate Ammonium,1,uM,NFA_20190710_MW69-0213_09_00(000).h5,0.00601827652384511
20190710,MW69-0213,09,A6,L-Glufosinate Ammonium,3,uM,NFA_20190710_MW69-0213_09_00(000).h5,0.00332165585328857
20190710,MW69-0213,09,A7,L-Glufosinate Ammonium,10,uM,NFA_20190710_MW69-0213_09_00(000).h5,0.000150752374053487
20190710,MW69-0213,09,A8,L-Glufosinate Ammonium,30,uM,NFA_20190710_MW69-0213_09_00(000).h5,0.000675361333909569
20190710,MW69-0213,09,B1,Glufosinate Ammonium,0.03,uM,NFA_20190710_MW69-0213_09_00(000).h5,0.00126525374564276
20190710,MW69-0213,09,B2,Glufosinate Ammonium,0,uM,NFA_20190710_MW69-0213_09_00(000).h5,0.00199428400839901
20190710,MW69-0213,09,B3,Glufosinate Ammonium,0.1,uM,NFA_20190710_MW69-0213_09_00(000).h5,0.00413862839863967
