spid,treatment,aenm,max_med,coff,sc_hit,sc_pos,hit_count
1210314424,3360 G10,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,23.28478538,52.8475,0,1,2
1210314424,3360 G10,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,-23.28478538,68.4416,0,1,2
1210314424,3360 G10,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,-20.27984944,63.308,0,1,2
1208990393,3612 G01,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,63.76811594,47.0176,1,1,1
1208990393,3612 G01,CCTE_Shafer_MEA_dev_AB_dn,-0.33803116,30,0,1,1
1208990393,3612 G01,CCTE_Shafer_MEA_dev_LDH_dn,21.29430469,30,0,1,1
1208990393,3612 G01,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,7.09530768,55.5246,0,1,1
1208990393,3612 G01,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-23.24557549,472.59,0,1,1
1208990393,3612 G01,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-60.89808099,118.434,0,1,1
1208990393,3612 G01,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,17.59197324,26.6127,0,1,1
1208990393,3612 G01,CCTE_Shafer_MEA_dev_network_spike_peak_dn,29.17567548,53.0434,0,1,1
1208990393,3612 G01,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,17.0371706,52.8475,0,1,1
1208990393,3612 G01,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,-17.0371706,68.4416,0,1,1
1208990393,3612 G01,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,-27.77989037,63.308,0,1,1
1208990405,3612 C03,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,29.01134522,26.6127,1,1,1
1208990405,3612 C03,CCTE_Shafer_MEA_dev_AB_dn,-6.700012651,30,0,1,1
1208990405,3612 C03,CCTE_Shafer_MEA_dev_LDH_dn,22.3505266,30,0,1,1
1208990405,3612 C03,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,-6.976744186,47.0176,0,1,1
1208990405,3612 C03,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,-25.70632356,55.5246,0,1,1
1208990405,3612 C03,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,36.74012641,472.59,0,1,1
1208990405,3612 C03,CCTE_Shafer_MEA_dev_mutual_information_norm_up,11.70059858,118.434,0,1,1
1208990405,3612 C03,CCTE_Shafer_MEA_dev_network_spike_peak_dn,6.421489095,53.0434,0,1,1
1208990405,3612 C03,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,17.36021113,52.8475,0,1,1
1208990405,3612 C03,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,-17.36021113,68.4416,0,1,1
