date,Plate.SN,DIV,well,trt,dose,units,Mutual Information
20160720,MW1139-19,12,B8,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",10,uM,0.01845671
20160720,MW1139-19,12,C1,"2,2',4,4',5-Pentabromodiphenyl ether",20,uM,0
20160720,MW1139-19,12,C2,"2,2',4,4',5-Pentabromodiphenyl ether",0,uM,0.021824611
20160720,MW1139-19,12,C3,"2,2',4,4',5-Pentabromodiphenyl ether",0.03,uM,0.008253973
20160720,MW1139-19,12,C4,"2,2',4,4',5-Pentabromodiphenyl ether",0.1,uM,0.012120575
20160720,MW1139-19,12,C5,"2,2',4,4',5-Pentabromodiphenyl ether",0.3,uM,0.014297813
20160720,MW1139-19,12,C6,"2,2',4,4',5-Pentabromodiphenyl ether",1,uM,0.013279343
20160720,MW1139-19,12,C7,"2,2',4,4',5-Pentabromodiphenyl ether",3,uM,0.011310121
20160720,MW1139-19,12,C8,"2,2',4,4',5-Pentabromodiphenyl ether",10,uM,0.015564243
20160720,MW1139-19,12,D1,"2,2',4,4',5,5'-Hexabromodiphenyl ether",10,uM,0.032764814
20160720,MW1139-19,12,D2,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0,uM,0.024092132
20160720,MW1139-19,12,D3,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.02,uM,0.011174824
20160720,MW1139-19,12,D4,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.05,uM,0.013025727
20160720,MW1139-19,12,D5,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.15,uM,0.005756274
20160720,MW1139-19,12,D6,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.5,uM,0.008712821
20160720,MW1139-19,12,D7,"2,2',4,4',5,5'-Hexabromodiphenyl ether",1.5,uM,0.010071912
20160720,MW1139-19,12,D8,"2,2',4,4',5,5'-Hexabromodiphenyl ether",5,uM,0.014866939
20160720,MW1139-19,12,E1,"2,2',4,4'-Tetrabromodiphenyl ether",20,uM,3.36E-05
20160720,MW1139-19,12,E2,"2,2',4,4'-Tetrabromodiphenyl ether",0,uM,0.019253392
20160720,MW1139-19,12,E3,"2,2',4,4'-Tetrabromodiphenyl ether",0.03,uM,0.010262423
20160720,MW1139-19,12,E4,"2,2',4,4'-Tetrabromodiphenyl ether",0.1,uM,0.009758389
20160720,MW1139-19,12,E5,"2,2',4,4'-Tetrabromodiphenyl ether",0.3,uM,0.012996855
20160720,MW1139-19,12,E6,"2,2',4,4'-Tetrabromodiphenyl ether",1,uM,0.006590431
20160720,MW1139-19,12,E7,"2,2',4,4'-Tetrabromodiphenyl ether",3,uM,0.008554911
20160720,MW1139-19,12,E8,"2,2',4,4'-Tetrabromodiphenyl ether",10,uM,0.011448555
20160720,MW1139-19,12,F1,Bis(2-ethylhexyl) tetrabromophthalate,20,uM,0.008824041
20160720,MW1139-19,12,F2,Bis(2-ethylhexyl) tetrabromophthalate,0,uM,0.012306713
20160720,MW1139-19,12,F3,Bis(2-ethylhexyl) tetrabromophthalate,0.03,uM,0.020921451
20160720,MW1139-19,12,F4,Bis(2-ethylhexyl) tetrabromophthalate,0.1,uM,0.023848122
20160720,MW1139-19,12,F5,Bis(2-ethylhexyl) tetrabromophthalate,0.3,uM,0.019300223
20160720,MW1139-19,12,F6,Bis(2-ethylhexyl) tetrabromophthalate,1,uM,0.017063361
20160720,MW1139-19,12,F7,Bis(2-ethylhexyl) tetrabromophthalate,3,uM,0.013538844
20160720,MW1139-19,12,F8,Bis(2-ethylhexyl) tetrabromophthalate,10,uM,0.014680506
20160720,MW1139-21,5,A1,2-Ethylhexyl diphenyl phosphate,10,uM,1.87E-06
20160720,MW1139-21,5,A2,2-Ethylhexyl diphenyl phosphate,20,uM,0
20160720,MW1139-21,5,A3,2-Ethylhexyl diphenyl phosphate,0,uM,0
20160720,MW1139-21,5,A4,2-Ethylhexyl diphenyl phosphate,0.03,uM,0
20160720,MW1139-21,5,A5,2-Ethylhexyl diphenyl phosphate,0.1,uM,0
20160720,MW1139-21,5,A6,2-Ethylhexyl diphenyl phosphate,0.3,uM,5.65E-06
20160720,MW1139-21,5,A7,2-Ethylhexyl diphenyl phosphate,1,uM,1.81E-07
20160720,MW1139-21,5,A8,2-Ethylhexyl diphenyl phosphate,3,uM,0
20160720,MW1139-21,5,B1,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",10,uM,1.18E-06
20160720,MW1139-21,5,B2,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",20,uM,0
20160720,MW1139-21,5,B3,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0,uM,3.51E-05
20160720,MW1139-21,5,B4,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.03,uM,1.80E-05
20160720,MW1139-21,5,B5,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.1,uM,0
20160720,MW1139-21,5,B6,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.3,uM,3.28E-05
20160720,MW1139-21,5,B7,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",1,uM,2.57E-05
20160720,MW1139-21,5,B8,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",3,uM,0
20160720,MW1139-21,5,C1,"2,2',4,4',5-Pentabromodiphenyl ether",10,uM,1.33E-06
20160720,MW1139-21,5,C2,"2,2',4,4',5-Pentabromodiphenyl ether",20,uM,0
20160720,MW1139-21,5,C3,"2,2',4,4',5-Pentabromodiphenyl ether",0,uM,0
20160720,MW1139-21,5,C4,"2,2',4,4',5-Pentabromodiphenyl ether",0.03,uM,0.000123951
20160720,MW1139-21,5,C5,"2,2',4,4',5-Pentabromodiphenyl ether",0.1,uM,1.25E-07
20160720,MW1139-21,5,C6,"2,2',4,4',5-Pentabromodiphenyl ether",0.3,uM,4.00E-06
20160720,MW1139-21,5,C7,"2,2',4,4',5-Pentabromodiphenyl ether",1,uM,2.40E-05
20160720,MW1139-21,5,C8,"2,2',4,4',5-Pentabromodiphenyl ether",3,uM,0
20160720,MW1139-21,5,D1,"2,2',4,4',5,5'-Hexabromodiphenyl ether",5,uM,6.28E-06
20160720,MW1139-21,5,D2,"2,2',4,4',5,5'-Hexabromodiphenyl ether",10,uM,0
20160720,MW1139-21,5,D3,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0,uM,2.33E-05
20160720,MW1139-21,5,D4,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.02,uM,0.000252503
20160720,MW1139-21,5,D5,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.05,uM,8.92E-06
20160720,MW1139-21,5,D6,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.15,uM,0
20160720,MW1139-21,5,D7,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.5,uM,4.03E-06
20160720,MW1139-21,5,D8,"2,2',4,4',5,5'-Hexabromodiphenyl ether",1.5,uM,0
20160720,MW1139-21,5,E1,"2,2',4,4'-Tetrabromodiphenyl ether",10,uM,0
20160720,MW1139-21,5,E2,"2,2',4,4'-Tetrabromodiphenyl ether",20,uM,0
20160720,MW1139-21,5,E3,"2,2',4,4'-Tetrabromodiphenyl ether",0,uM,1.83E-05
20160720,MW1139-21,5,E4,"2,2',4,4'-Tetrabromodiphenyl ether",0.03,uM,0
20160720,MW1139-21,5,E5,"2,2',4,4'-Tetrabromodiphenyl ether",0.1,uM,4.41E-05
20160720,MW1139-21,5,E6,"2,2',4,4'-Tetrabromodiphenyl ether",0.3,uM,1.44E-06
20160720,MW1139-21,5,E7,"2,2',4,4'-Tetrabromodiphenyl ether",1,uM,1.82E-06
20160720,MW1139-21,5,E8,"2,2',4,4'-Tetrabromodiphenyl ether",3,uM,0
20160720,MW1139-21,5,F1,Bis(2-ethylhexyl) tetrabromophthalate,10,uM,0
20160720,MW1139-21,5,F2,Bis(2-ethylhexyl) tetrabromophthalate,20,uM,0
20160720,MW1139-21,5,F3,Bis(2-ethylhexyl) tetrabromophthalate,0,uM,0
20160720,MW1139-21,5,F4,Bis(2-ethylhexyl) tetrabromophthalate,0.03,uM,0
